ID,hh_id,home_lon,home_lat,home_in_region,home_bg_2010,home_bg_2020,home_county,home_state,home_puma_2010,home_puma_2020,sample_home_lon,sample_home_lat,sample_home_bg,sample_segment,participation_group,num_days_complete_weekday,num_days_complete_weekend,num_complete_mon,num_complete_tue,num_complete_wed,num_complete_thu,num_complete_fri,num_complete_sat,num_complete_sun,num_people,num_adults,num_kids,num_students,num_workers,num_vehicles,num_bicycles,income_detailed,income_followup,res_type,residence_rent_own,bicycle_type_1,bicycle_type_2,bicycle_type_997,hh_weight,MGRA
2614,22117606,-117.09802,32.64474,1,60730125023,60730125023,6073,6,7321,7321,<Null>,<Null>,<Null>,5,3,1,0,0,0,1,0,0,0,0,5,2,3,0,1,1,5,3,995,4,2,1,0,0,9.495327,8967
2076,22097908,-117.09603,32.74503,1,60730026013,60730026012,6073,6,7317,7317,-117.095792,32.744915,60730026013,4,3,4,1,1,1,1,1,0,1,0,2,2,0,0,2,2,2,999,999,1,1,1,0,0,35.313915,9007
981,22044256,-116.96111,32.62915,1,60730133111,60730133161,6073,6,7320,7320,-116.96217,32.629915,60730133111,1,1,1,0,0,1,0,0,0,0,0,6,3,3,0,3,3,5,8,995,1,1,1,0,0,14328.6875,9011
2328,22108849,-117.07909,32.64869,1,60730123032,60730123032,6073,6,7321,7321,-117.079385,32.648583,60730123032,4,1,1,0,0,0,1,0,0,0,0,2,2,0,0,0,1,0,6,995,1,2,995,995,995,14.139745,9016
2501,22115966,-117.07823,32.64831,1,60730123032,60730123032,6073,6,7321,7321,-117.07811,32.64826,60730123032,4,2,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,6,995,6,2,995,995,995,19.561356,9016
1997,22093314,-117.2175,32.75641,1,60730065001,60730065001,6073,6,7310,7310,-117.216885,32.755672,60730065001,4,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,3,995,6,2,995,995,995,217.16852,9027
2353,22109777,-117.21726,32.7557,1,60730065001,60730065001,6073,6,7310,7310,-117.217057,32.755031,60730065001,4,5,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,2,995,6,2,995,995,995,4.70332,9027
573,22025754,-117.34629,33.23178,1,60730186012,60730186012,6073,6,7301,7301,-117.34619,33.232069,60730186012,1,1,1,0,0,0,0,1,0,0,0,2,2,0,0,1,1,0,8,995,1,1,995,995,995,50.414701,9031
1564,22071379,-117.01038,32.69559,1,60730134101,60730134232,6073,6,7320,7320,-117.011411,32.695669,60730134101,3,1,1,0,0,0,1,0,0,0,0,3,3,0,0,1,4,2,7,995,2,1,1,0,0,26.640729,9058
2610,22117598,-117.00913,32.69607,1,60730134101,60730134232,6073,6,7320,7320,<Null>,<Null>,<Null>,5,1,1,0,0,0,0,1,0,0,0,2,2,0,0,0,2,0,999,999,1,1,995,995,995,28.382626,9058
946,22042973,-117.16669,32.73445,1,60730060003,60730060003,6073,6,7316,7316,-117.166707,32.734295,60730060003,1,9,4,2,0,1,1,1,1,1,1,1,1,0,0,1,5,2,10,995,1,1,1,0,0,10.827834,9062
444,22019924,-117.15145,32.75991,1,60730005002,60730005002,6073,6,7316,7316,-117.151297,32.759889,60730005002,1,6,5,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,3,995,4,2,995,995,995,175.118318,9069
333,22015270,-117.11974,32.79046,1,60730093061,60730093061,6073,6,7315,7315,-117.119591,32.790692,60730093061,1,3,5,1,1,1,1,1,1,0,1,1,1,0,0,0,2,0,7,995,1,2,995,995,995,422.340778,9088
1788,22082088,-117.14342,32.80762,1,60730092011,60730092011,6073,6,7315,7315,-117.143562,32.807816,60730092011,3,1,1,0,0,0,1,0,0,0,0,2,2,0,1,2,2,1,999,999,1,1,1,0,0,3.805515,9091
1865,22085878,-117.14194,32.80766,1,60730092011,60730092011,6073,6,7315,7315,-117.142226,32.80783,60730092011,3,1,1,0,0,0,0,1,0,0,0,2,2,0,0,0,2,3,7,995,1,1,1,0,0,69.78435,9091
