,veh_make_other,vehicle_model,vehicle_year,weight_class_cvm,vehicle_classification,vehicle_weight
519,Peterbilt,357,2015,HHD,8,66000
520,Ford,F350,1999,LHD,2,10000
521,Ford,EXPEDITION,2004,DA,1,6800
522,Chevrolet,Express Van,2018,DA,3,5900
523,Chevrolet,EXPRESS,2017,DA,3,6000
524,Chevrolet,EXPRESS 3500,2012,LHD,3,5900
525,Chevrolet,Express Van,2019,DA,3,5800
526,Chevrolet,EXPRESS,2020,DA,3,6000
527,Chevrolet,EXPRESS,2015,DA,3,6000
528,Freightliner,Cascadia,2020,HHD,8,88000
529,Nissan,Frontier,2017,DA,2,7999
530,RAM,PROMASTER 1500,2022,DA,3,4600
531,Jaguar,X-Type 3.0,2004,DA,1,3747
532,Freightliner,Cascadia,2007,HHD,8,66000
533,Ford,F450 BOX TRUCK ,2014,LHD,5,12250
534,Chevrolet,3500 EXPRESS BOX TRUCK,2014,LHD,5,11500
535,Chevrolet,3500 EXPRESS BOX TRUCK,2012,LHD,5,12500
536,Ford,E-150,2014,DA,3,6800
537,TOYOTA,Tacoma,2011,DA,2,6200
538,Chevrolet,SUBURBAN,2012,DA,1,4600
539,DODGE,RAM,2013,DA,2,7000
540,DODGE, 3500 Express BOX TRUCK,2014,LHD,5,12000
541,Ford,F350 BOX TRUCK,2018,LHD,5,10500
542,Ford,F450 DUALLY,2015,LHD,5,11500
543,Chevrolet,Blazer,2015,DA,1,5800
544,International,4000,1992,HHD,8,44600
545,Nissan,NV200,2014,DA,3,8000
546,Nissan,NV200,2015,DA,3,7000
547,TOYOTA,PRIUS,2012,DA,1,3000
548,DODGE,Ram 1500 Tradesman,2016,DA,2,10000
549,Nissan,Titan XD,2017,DA,2,7010
550,Ford,Ranger XL,2008,DA,2,7000
551,Freightliner,Cascadia,2019,HHD,7,66000
552,SANYOU,28M Mounted Concrete Pumps,2018,MHD,6,17380
553,SANYOU,29M Mounted concrete pump,2000,MHD,6,17380
554,SANYOU,32M Mounted Concrete Pump,2002,MHD,6,17380
555,SANYOU,28M Mounted Concrete Pump,2020,MHD,6,17380
556,SANYOU,51M Mounted concrete pump,2018,MHD,7,17380
557,Chevrolet,3500 EXPRESS BOX TRUCK,2020,LHD,5,12000
558,Chevrolet,Silverado ,2017,DA,2,8010
559,GMC,Savanna Cargo,1998,LHD,3,9600
560,Ford,F450 Super Duty,2018,LHD,5,12000
561,Ford,TRANSIT CONNECT,2010,DA,3,6800
562,MERCEDES BENZ,Sprinter,2015,LHD,3,7200
563,MERCEDES BENZ,Sprinter,2016,LHD,3,8200
564,PONTIAC,Grand Prix,1998,DA,1,3870
565,Ford,F450 Flat,2018,LHD,5,12500
566,GMC,SIERRA,2017,DA,2,7010
567,TOYOTA,Tacoma,2016,DA,2,6820
568,HONDA,Crosstour,2018,DA,1,4938
569,Ford,F250,2016,LHD,2,10000
570,Ford,TRANSIT CONNECT,2016,DA,3,6800
571,MERCEDES BENZ,Sprinter,2017,LHD,3,6800
572,Ford,TRANSIT 250,2018,LHD,3,8200
573,Ford,Blazer,2007,DA,1,8700
574,Ford,E-150,2009,DA,3,7800
575,Chevrolet,2500HD,2019,LHD,2,15000
576,Chevrolet,Cargo Van,2018,DA,3,9999998
577,GMC,Sierra 2500HD,2018,LHD,2,15000
578,TOYOTA,Tacoma,2018,DA,2,9999998
579,Isuzu,Box ,2017,MHD,5,12500
580,TOYOTA,TACOMA 4WD,2019,DA,2,9999998
581,Chevrolet,2500 HD,2019,LHD,2,15000
582,Chevrolet,Malibu,2019,DA,1,9999998
583,Chevrolet,2500 HD PICKUP,2017,LHD,2,9999998
584,Chevrolet,3500,2016,LHD,2,9999998
585,Ford,F250,2018,LHD,2,9999998
586,Chevrolet,Cargo Van,2017,DA,3,9999998
587,Chevrolet,3500,2017,LHD,2,9999998
588,TOYOTA,TACOMA 2WD,2016,DA,2,9999998
589,Chevrolet,1500 SILVERADO,2016,DA,2,9999998
590,Chevrolet,1500,2016,DA,2,9999998
591,HINO,238,2015,MHD,5,12500
592,Chevrolet,Tahoe,2016,DA,1,6500
593,Chevrolet,City Express,2015,DA,3,6800
594,DODGE,RAM PROMASTER 1500,2021,DA,3,6800
595,Chevrolet,Tahoe,2015,DA,1,6063
596,Nissan,Rogue Select,2022,DA,1,4300
597,Subaru,Ascent,2017,DA,1,4200
598,DODGE,Nitro,2018,DA,1,5400
599,Freightliner,M2,2021,MHD,5,26000
600,Freightliner,M3,2021,MHD,5,28000
601,Peterbilt,PH348,2021,HHD,5,32000
602,Kenworth,T880,2023,HHD,5,39000
603,International,7600,2017,MHD,5,30000
604,International,7300,2016,HHD,5,39000
605,Ford,Ranger xl,2022,DA,2,7500
606,Ford,Ranger,2022,DA,2,6800
607,Ford,RANGER,2022,DA,2,6800
608,Ford,Ranger xl,2022,DA,2,6900
609,Freightliner,Cascadia,2011,HHD,8,80000
610,Freightliner,"New Cascadia 116"" Day cab",2014,HHD,8,80000
611,Ford,RANGER,2022,DA,2,6500
612,Freightliner,"New Cascadia 116"" Day cab",2020,HHD,8,66000
613,Ford,RANGER,2020,DA,2,6900
614,MAZDA,CX-9,2011,DA,1,3240
615,Ford,E350 BOX TRUCK,2009,LHD,5,12000
616,Peterbilt,200,2021,MHD,8,33000
617,Peterbilt,200,2020,MHD,8,30000
618,Peterbilt,310,2020,MHD,8,66000
619,Peterbilt,200,2018,MHD,8,42000
620,Peterbilt,310,2020,MHD,8,44000
621,Peterbilt,320,2020,MHD,8,30000
622,Peterbilt,310,2020,MHD,8,56000
623,Peterbilt,330,2021,MHD,8,30000
624,Peterbilt,330,2017,MHD,7,54000
625,Peterbilt,200,2021,MHD,8,30000
626,Peterbilt,310,2017,MHD,8,30000
627,Peterbilt,200,2020,MHD,8,66000
628,Peterbilt,310,2020,MHD,8,66000
629,Freightliner,m2,2008,HHD,5,33000
630,Ford,F450 Tow Truck,2007,LHD,5,12200
631,Ford,F450 Tow Truck ,2013,LHD,5,12500
632,Ford,F450 Tow Truck ,2008,LHD,5,12500
633,Freightliner,M2 Tow,2017,MHD,6,22000
634,Ford,F450 Tow Truck Wheel Lift ,2011,LHD,5,12500
635,Chevrolet,Tahoe,2019,DA,2,9999998
636,Ford,F-150,2000,DA,2,9999998
637,Ford,F-150,2000,DA,2,9999998
638,Ford,F-150,2000,DA,2,9999998
639,Ford,F-150,2000,DA,2,9999998
640,Ford,F-150,2000,DA,2,9999998
641,Ford,F-150,2000,DA,2,7010
642,Ford,F-150,2000,DA,2,7010
643,Ford,F-150,2000,DA,2,9999998
644,Ford,F-150,2000,DA,2,9999998
645,Ford,FUSION-2,2015,DA,1,4010
646,Vitacci,Falcon,2021,DA,1,300
647,Ford,TRANSIT,2014,LHD,3,7600
648,Chevrolet,Malibu,2015,DA,1,4500
649,Vitacci,Falcon,2022,DA,1,300
650,Ford,TRANSIT CONNECT,2018,DA,3,7000
651,Lincoln,MKZ,2017,DA,1,4010
652,Hyundai,Sonata,2018,DA,1,4016
653,Vitacci,Falcon,2022,DA,1,300
654,Vitacci,Falcon,2022,DA,1,300
655,Ford,F-150,2000,DA,2,9999998
656,Freightliner,Cascadia,2004,HHD,8,80000
657,Freightliner,COLUMBIA,2002,HHD,8,80000
658,Freightliner,"New Cascadia 116"" Sleepercab",2021,HHD,8,80000
659,Kenworth,TRACTOR,1997,HHD,8,66000
660,Freightliner,COLUMBIA,2000,HHD,8,80000
661,Freightliner,Columbia,2004,HHD,8,9999998
662,Freightliner,Cascadia,2003,HHD,8,9999998
663,Freightliner,Columbia,2002,HHD,8,9999998
664,Ford,F-150,2000,DA,2,9999998
665,Ford,F-150,2000,DA,2,9999998
666,Ford,F-150,2000,DA,2,7010
667,Ford,F-150,2000,DA,2,7010
668,Ford,F-150,2000,DA,2,7010
669,Ford,F-150,2000,DA,2,7010
670,Ford,F-150,2000,DA,2,9999998
671,Ford,F-150,2000,DA,2,9999998
672,Ford,F-150,2018,DA,2,7010
673,Ford,F450 BOX TRUCK,2015,LHD,5,12500
674,Ford,Cargo Van,2009,DA,3,7800
675,Ford,TRANSIT,2008,LHD,3,6800
676,TOYOTA,Tacoma,2012,DA,2,5200
677,Ford,F-650,2018,MHD,5,19000
678,Ford,F-550 Dually ,2017,LHD,5,19000
679,Ford,F-750,2018,MHD,6,37000
680,TOYOTA,Tundra,2010,DA,2,7375
681,DODGE,RAM,2007,LHD,2,11400
682,Jeep,GRAND CHEROKEE,2013,DA,1,6090
683,Nissan,Frontier,2018,DA,1,4253
684,MAZDA,3,2017,DA,1,2931
685,TOYOTA,COROLLA,2015,DA,1,2865
686,TOYOTA,COROLLA,2022,DA,1,3150
687,Ford,FUSION,2015,DA,1,4066
688,Ford,E350 BOX TRUCK,2018,LHD,1,12000
689,Ford,E350 BOX TRUCK,2020,LHD,3,5388
690,DODGE,Promaster Van,2018,LHD,3,4550
691,DODGE,Promaster Van,2015,LHD,3,4590
